"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2902","Открытие формы обработки ""(не используется) Обмен с банком"" (ОбменСБанком)","","Thu Feb 20 15:33:53 MSK 2025","passed","Thu Feb 20 15:33:56 MSK 2025","","","",""
"","2192","Открытие формы списка регистра сведений ""ММП: Значения показателей"" (mmParameters)","","Thu Feb 20 15:36:05 MSK 2025","passed","Thu Feb 20 15:36:07 MSK 2025","","","",""
"","2613","Открытие формы списка справочника ""Единицы измерения ВетИС"" (ЕдиницыИзмеренияВЕТИС)","","Thu Feb 20 14:41:34 MSK 2025","passed","Thu Feb 20 14:41:37 MSK 2025","","","",""
"","2502","Открытие формы документа ""Оприходование излишков товаров"" (ОприходованиеИзлишковТоваров)","","Thu Feb 20 15:02:14 MSK 2025","passed","Thu Feb 20 15:02:16 MSK 2025","","","",""
"","1469","Открытие формы регистра сведений ""Аналитика учета партий"" (АналитикаУчетаПартий)","","Thu Feb 20 15:43:28 MSK 2025","passed","Thu Feb 20 15:43:29 MSK 2025","","","",""
"","3071","Открытие формы документа ""Перемещение товаров"" (ПеремещениеТоваров)","","Thu Feb 20 15:03:10 MSK 2025","passed","Thu Feb 20 15:03:13 MSK 2025","","","",""
"","2147","Открытие формы списка документа ""Отражение прочих доходов и расходов"" (ПрочиеДоходыРасходы)","","Thu Feb 20 14:55:56 MSK 2025","passed","Thu Feb 20 14:55:58 MSK 2025","","","",""
"","2254","Открытие формы списка документа ""План закупок"" (ПланЗакупок)","","Thu Feb 20 14:55:20 MSK 2025","passed","Thu Feb 20 14:55:22 MSK 2025","","","",""
"","2189","Открытие формы списка документа ""Встреча"" (Встреча)","","Thu Feb 20 14:52:24 MSK 2025","passed","Thu Feb 20 14:52:26 MSK 2025","","","",""
"","2574","Открытие формы списка справочника ""Группы доступа партнеров"" (ГруппыДоступаПартнеров)","","Thu Feb 20 14:40:56 MSK 2025","passed","Thu Feb 20 14:40:59 MSK 2025","","","",""
"","2506","Открытие формы документа ""Заявление о ввозе товаров из ЕАЭС"" (ЗаявлениеОВвозеТоваров)","","Thu Feb 20 15:00:57 MSK 2025","passed","Thu Feb 20 15:01:00 MSK 2025","","","",""
"","2073","Открытие формы списка регистра сведений ""Номенклатура сегмента"" (НоменклатураСегмента)","","Thu Feb 20 15:39:11 MSK 2025","passed","Thu Feb 20 15:39:13 MSK 2025","","","",""
"","1396","Открытие формы регистра сведений ""История изменения реквизитов организации"" (ИсторияИзмененияРеквизитовОрганизации)","","Thu Feb 20 15:46:09 MSK 2025","passed","Thu Feb 20 15:46:10 MSK 2025","","","",""
"","2712","Открытие формы документа ""Отчет о розничных продажах"" (ОтчетОРозничныхПродажах)","","Thu Feb 20 15:03:07 MSK 2025","passed","Thu Feb 20 15:03:10 MSK 2025","","","",""
"","1494","Открытие формы регистра сведений ""Наборы значений доступа"" (НаборыЗначенийДоступа)","","Thu Feb 20 15:44:15 MSK 2025","passed","Thu Feb 20 15:44:17 MSK 2025","","","",""
"","1445","Открытие формы регистра сведений ""ММП: Значения показателей"" (mmParameters)","","Thu Feb 20 15:43:21 MSK 2025","passed","Thu Feb 20 15:43:23 MSK 2025","","","",""
"","2748","Открытие формы списка справочника ""Ключевые операции"" (КлючевыеОперации)","","Thu Feb 20 14:42:54 MSK 2025","passed","Thu Feb 20 14:42:56 MSK 2025","","","",""
